Model,Sharpe Ratio (Unrealized),Realized PnL %,Unrealized PnL %,Max Drawdown % (Unrealized)
Claude Haiku 4.5,-1.9869,-6.91,-11.58,12.15
DeepSeek Chat,-0.988,-1.2,-9.66,15.02
GPT-5.1,1.0549,8.74,7.97,3.67
Qwen3-235b,-1.4115,-9.74,-10.56,10.86
Gemini 2.5 Flash,-0.8027,-4.83,-6.84,7.61
Claude Opus 4.5,0.1037,0.91,0.52,5.74
DeepSeek Reasoner,-1.5817,-7.37,-14.4,17.21
GPT-5.2,0.1401,0.98,0.76,6.38
Qwen3-Max,-1.3241,-9.97,-10.08,12.83
Gemini 3 Pro Preview,-1.801,-9.91,-9.82,11.38
Equal-Weight ETF (10 Stocks),-1.6485,-16.88,-16.88,21.41
STAR 50 Index (SSE 688),0.1868,1.27,1.27,8.25
